timestamp_us;participant;event;detail
1759580291097688;Marwan;MOVE_END;full_ulnar_flexion
1759580293920621;Marwan;GET_READY;mild_flexion
1759580296915186;Marwan;MOVE_START;mild_flexion
1759580301906824;Marwan;MOVE_END;mild_flexion
1759580305694063;Marwan;GET_READY;full_extension
1759580308697893;Marwan;MOVE_START;full_extension
1759580312908561;Marwan;MOVE_END;full_extension
1759580315916360;Marwan;PAUSE;user
1759580316560304;Marwan;GET_READY;mild_ulnar_flexion
1759580319378165;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580319395595;Marwan;PAUSE;user
1759580391409011;Marwan;RESUME;user
1759580391424775;Marwan;GET_READY;mild_ulnar_flexion
1759580392707829;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580392733263;Marwan;PAUSE;user
1759580394464362;Marwan;RESUME;user
1759580394493481;Marwan;GET_READY;mild_ulnar_flexion
1759580395731123;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580395761928;Marwan;PAUSE;user
1759580396781664;Marwan;RESUME;user
1759580396813254;Marwan;GET_READY;mild_ulnar_flexion
1759580398006873;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580398030296;Marwan;PAUSE;user
1759580399058426;Marwan;RESUME;user
1759580399091642;Marwan;GET_READY;mild_ulnar_flexion
1759580400267235;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580400296402;Marwan;PAUSE;user
1759580401870840;Marwan;RESUME;user
1759580401888610;Marwan;GET_READY;mild_radial_flexion
1759580404885501;Marwan;MOVE_START;mild_radial_flexion
1759580407387653;Marwan;MOVE_END;mild_radial_flexion
1759580410954501;Marwan;GET_READY;mild_ulnar_flexion
1759580413962799;Marwan;MOVE_START;mild_ulnar_flexion
1759580418936377;Marwan;MOVE_END;mild_ulnar_flexion
1759580422551385;Marwan;GET_READY;full_flexion
1759580424485526;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1759580424517601;Marwan;PAUSE;user
1759580438410082;Marwan;RESUME;user
1759580438422444;Marwan;GET_READY;mild_flexion
1759580440183964;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580440217046;Marwan;PAUSE;user
1759580441169617;Marwan;RESUME;user
1759580441186827;Marwan;GET_READY;full_extension
1759580442383004;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759580442415164;Marwan;PAUSE;user
1759580443244963;Marwan;RESUME;user
1759580443261763;Marwan;GET_READY;mild_radial_flexion
1759580446263761;Marwan;MOVE_START;mild_radial_flexion
1759580450875996;Marwan;MOVE_END;mild_radial_flexion
1759580453089069;Marwan;GET_READY;full_radial_flexion
1759580456088451;Marwan;MOVE_START;full_radial_flexion
1759580459718882;Marwan;MOVE_END;full_radial_flexion
1759580463732037;Marwan;GET_READY;full_ulnar_flexion
1759580465171300;Marwan;MOVE_ABORT;full_ulnar_flexion|USER_PAUSE
1759580465187325;Marwan;PAUSE;user
1759580477664867;Marwan;RESUME;user
1759580477684950;Marwan;GET_READY;full_flexion
1759580480680428;Marwan;MOVE_START;full_flexion
1759580484754792;Marwan;MOVE_END;full_flexion
1759580488248369;Marwan;GET_READY;mild_ulnar_flexion
1759580489884299;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580489914226;Marwan;PAUSE;user
1759580495773891;Marwan;RESUME;user
1759580495798344;Marwan;GET_READY;full_ulnar_flexion
1759580496995275;Marwan;MOVE_ABORT;full_ulnar_flexion|USER_PAUSE
1759580497020538;Marwan;PAUSE;user
1759580497849007;Marwan;RESUME;user
1759580497876521;Marwan;GET_READY;full_ulnar_flexion
1759580499312608;Marwan;MOVE_ABORT;full_ulnar_flexion|USER_PAUSE
1759580499338589;Marwan;PAUSE;user
1759580500222148;Marwan;RESUME;user
1759580500245722;Marwan;GET_READY;mild_ulnar_flexion
1759580501371309;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580501399363;Marwan;PAUSE;user
1759580502125330;Marwan;RESUME;user
1759580502139200;Marwan;GET_READY;mild_ulnar_flexion
1759580503186510;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759580503216220;Marwan;PAUSE;user
1759580503955645;Marwan;RESUME;user
1759580503969455;Marwan;GET_READY;mild_flexion
1759580505154137;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580505185159;Marwan;PAUSE;user
1759580506043967;Marwan;RESUME;user
1759580506063814;Marwan;GET_READY;mild_flexion
1759580507030415;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580507068226;Marwan;PAUSE;user
1759580508014662;Marwan;RESUME;user
1759580508026434;Marwan;GET_READY;full_ulnar_flexion
1759580509069774;Marwan;MOVE_ABORT;full_ulnar_flexion|USER_PAUSE
1759580509098560;Marwan;PAUSE;user
1759580509965801;Marwan;RESUME;user
1759580509981546;Marwan;GET_READY;mild_flexion
1759580511146171;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580511178024;Marwan;PAUSE;user
1759580511987561;Marwan;RESUME;user
1759580512000708;Marwan;GET_READY;mild_extension
1759580515008875;Marwan;MOVE_START;mild_extension
1759580518568523;Marwan;MOVE_END;mild_extension
1759580520732358;Marwan;GET_READY;mild_flexion
1759580522814343;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580522844976;Marwan;PAUSE;user
1759580532200331;Marwan;RESUME;user
1759580532232009;Marwan;GET_READY;full_ulnar_flexion
1759580533472266;Marwan;MOVE_ABORT;full_ulnar_flexion|USER_PAUSE
1759580533504740;Marwan;PAUSE;user
1759580534688254;Marwan;RESUME;user
1759580534703523;Marwan;GET_READY;full_extension
1759580537711502;Marwan;MOVE_START;full_extension
1759580540018028;Marwan;MOVE_END;full_extension
1759580542860345;Marwan;GET_READY;mild_flexion
1759580543972391;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580543998411;Marwan;PAUSE;user
1759580551332895;Marwan;RESUME;user
1759580551365121;Marwan;GET_READY;full_ulnar_flexion
1759580554368803;Marwan;MOVE_START;full_ulnar_flexion
1759580556641740;Marwan;MOVE_END;full_ulnar_flexion
1759580559446374;Marwan;GET_READY;mild_flexion
1759580560127220;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580560152813;Marwan;PAUSE;user
1759580568838910;Marwan;RESUME;user
1759580568856255;Marwan;GET_READY;mild_flexion
1759580570470677;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759580570497890;Marwan;PAUSE;user
1759580573278913;Marwan;SESSION_END;-
