timestamp_us;participant;state;active_label_id;active_label_name;stream_index;ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7
9896484;Sofiia;PAUSED;0;rest;2;-1;0;0;0;0;-2;0;0
9911132;Sofiia;PAUSED;0;rest;3;0;0;0;1;0;-1;0;-2
9911132;Sofiia;PAUSED;0;rest;3;-1;-1;-1;-1;-1;-1;2;-2
9916992;Sofiia;PAUSED;0;rest;0;-1;-6;-1;-1;-1;-1;-2;1
9916992;Sofiia;PAUSED;0;rest;0;-2;-9;-6;-2;-3;-3;-3;-1
9925781;Sofiia;PAUSED;0;rest;1;0;-1;-2;0;-1;-1;-2;-3
9925781;Sofiia;PAUSED;0;rest;1;-1;3;-1;0;-1;0;-1;-2
9941406;Sofiia;PAUSED;0;rest;2;3;-6;-2;-1;2;-1;-1;1
9941406;Sofiia;PAUSED;0;rest;2;0;0;0;-1;-1;-1;0;-1
9947265;Sofiia;PAUSED;0;rest;3;-1;1;-1;-2;1;0;-1;0
9947265;Sofiia;PAUSED;0;rest;3;2;0;-2;-1;-1;-3;-2;-1
9956054;Sofiia;PAUSED;0;rest;0;1;-4;0;0;-2;0;0;-1
9956054;Sofiia;PAUSED;0;rest;0;-1;-1;0;-1;-1;0;-3;0
9971679;Sofiia;PAUSED;0;rest;1;-1;-1;0;-1;1;-1;0;0
9971679;Sofiia;PAUSED;0;rest;1;-3;2;-1;-2;-1;-2;2;0
9977539;Sofiia;PAUSED;0;rest;2;-1;2;-4;-1;-1;1;-2;-1
9977539;Sofiia;PAUSED;0;rest;2;-1;-1;0;-1;0;0;-1;-1
9986328;Sofiia;PAUSED;0;rest;3;-3;-2;0;0;2;-1;-2;-2
9986328;Sofiia;PAUSED;0;rest;3;-3;-1;1;0;0;-2;1;-1
10000976;Sofiia;PAUSED;0;rest;0;0;-1;-1;-1;-1;-2;-1;-1
10000976;Sofiia;PAUSED;0;rest;0;0;-2;-1;-1;-2;-1;-1;0
10007812;Sofiia;PAUSED;0;rest;1;1;-5;-2;-2;0;-1;-1;0
10007812;Sofiia;PAUSED;0;rest;1;0;-2;-2;-1;0;0;-1;0
10016601;Sofiia;PAUSED;0;rest;2;-1;-5;-1;-1;-3;-1;-1;-1
