timestamp_us;participant;event;detail
1759581972866693;Marwan;SESSION_START;-
1759581972874672;Marwan;GET_READY;mild_flexion
1759581972890791;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1759581972890791;Marwan;MOVE_ABORT;mild_flexion|USER_PAUSE
1759581972916712;Marwan;PAUSE;user
1759582008171213;Marwan;RESUME;user
1759582008184419;Marwan;GET_READY;mild_flexion
1759582011179549;Marwan;MOVE_START;mild_flexion
1759582014955174;Marwan;MOVE_END;mild_flexion
1759582018837695;Marwan;GET_READY;full_flexion
1759582019763772;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1759582019789276;Marwan;PAUSE;user
1759582042189742;Marwan;RESUME;user
1759582042203137;Marwan;GET_READY;full_extension
1759582044676881;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582044708688;Marwan;PAUSE;user
1759582045769103;Marwan;RESUME;user
1759582045785193;Marwan;GET_READY;full_flexion
1759582046980713;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1759582046998905;Marwan;PAUSE;user
1759582047849765;Marwan;RESUME;user
1759582047863556;Marwan;GET_READY;full_flexion
1759582048917514;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1759582048933676;Marwan;PAUSE;user
1759582050101853;Marwan;RESUME;user
1759582050117965;Marwan;GET_READY;full_extension
1759582051294326;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582051317247;Marwan;PAUSE;user
1759582052357174;Marwan;RESUME;user
1759582052382125;Marwan;GET_READY;full_ulnar_flexion
1759582055387043;Marwan;MOVE_START;full_ulnar_flexion
1759582057921809;Marwan;MOVE_END;full_ulnar_flexion
1759582060168347;Marwan;GET_READY;mild_extension
1759582063167177;Marwan;MOVE_START;mild_extension
1759582068032395;Marwan;MOVE_END;mild_extension
1759582071064366;Marwan;GET_READY;mild_radial_flexion
1759582073736925;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582073759859;Marwan;PAUSE;user
1759582086777333;Marwan;RESUME;user
1759582086793394;Marwan;GET_READY;full_flexion
1759582089782482;Marwan;MOVE_START;full_flexion
1759582092957421;Marwan;MOVE_END;full_flexion
1759582096589542;Marwan;GET_READY;mild_ulnar_flexion
1759582097200519;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759582097214936;Marwan;PAUSE;user
1759582853545284;Marwan;RESUME;user
1759582853561134;Marwan;GET_READY;full_radial_flexion
1759582854864193;Marwan;MOVE_ABORT;full_radial_flexion|USER_PAUSE
1759582854879992;Marwan;PAUSE;user
1759582856216035;Marwan;RESUME;user
1759582856242830;Marwan;GET_READY;mild_ulnar_flexion
1759582857336940;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759582857352650;Marwan;PAUSE;user
1759582858489393;Marwan;RESUME;user
1759582858505185;Marwan;GET_READY;full_radial_flexion
1759582859962759;Marwan;MOVE_ABORT;full_radial_flexion|USER_PAUSE
1759582859991101;Marwan;PAUSE;user
1759582861240281;Marwan;RESUME;user
1759582861256018;Marwan;GET_READY;full_extension
1759582862567650;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582862600654;Marwan;PAUSE;user
1759582863529870;Marwan;RESUME;user
1759582863543903;Marwan;GET_READY;full_radial_flexion
1759582864789296;Marwan;MOVE_ABORT;full_radial_flexion|USER_PAUSE
1759582864813464;Marwan;PAUSE;user
1759582865973460;Marwan;RESUME;user
1759582865996026;Marwan;GET_READY;mild_radial_flexion
1759582867236367;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582867262175;Marwan;PAUSE;user
1759582868251134;Marwan;RESUME;user
1759582868267326;Marwan;GET_READY;mild_radial_flexion
1759582869468136;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582869499558;Marwan;PAUSE;user
1759582870500311;Marwan;RESUME;user
1759582870514164;Marwan;GET_READY;full_radial_flexion
1759582871718876;Marwan;MOVE_ABORT;full_radial_flexion|USER_PAUSE
1759582871750452;Marwan;PAUSE;user
1759582872873930;Marwan;RESUME;user
1759582872892860;Marwan;GET_READY;full_radial_flexion
1759582874213785;Marwan;MOVE_ABORT;full_radial_flexion|USER_PAUSE
1759582874229755;Marwan;PAUSE;user
1759582875337924;Marwan;RESUME;user
1759582875353697;Marwan;GET_READY;mild_radial_flexion
1759582876468892;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582876486828;Marwan;PAUSE;user
1759582877418903;Marwan;RESUME;user
1759582877434591;Marwan;GET_READY;mild_radial_flexion
1759582878565842;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582878597270;Marwan;PAUSE;user
1759582879496201;Marwan;RESUME;user
1759582879523933;Marwan;GET_READY;mild_ulnar_flexion
1759582880806528;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759582880822472;Marwan;PAUSE;user
1759582882336759;Marwan;RESUME;user
1759582882356707;Marwan;GET_READY;full_extension
1759582883402169;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582883417987;Marwan;PAUSE;user
1759582884587510;Marwan;RESUME;user
1759582884603280;Marwan;GET_READY;mild_radial_flexion
1759582885786926;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582885819155;Marwan;PAUSE;user
1759582887271783;Marwan;RESUME;user
1759582887287694;Marwan;GET_READY;full_extension
1759582888397715;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582888415695;Marwan;PAUSE;user
1759582889297723;Marwan;RESUME;user
1759582889312400;Marwan;GET_READY;full_extension
1759582890397629;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582890413627;Marwan;PAUSE;user
1759582891522698;Marwan;RESUME;user
1759582891534322;Marwan;GET_READY;mild_radial_flexion
1759582892934666;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582892961767;Marwan;PAUSE;user
1759582893916499;Marwan;RESUME;user
1759582893931707;Marwan;GET_READY;mild_radial_flexion
1759582895166613;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582895182293;Marwan;PAUSE;user
1759582896134575;Marwan;RESUME;user
1759582896150360;Marwan;GET_READY;full_extension
1759582897153652;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582897181716;Marwan;PAUSE;user
1759582898055090;Marwan;RESUME;user
1759582898086949;Marwan;GET_READY;mild_ulnar_flexion
1759582899304235;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759582899318097;Marwan;PAUSE;user
1759582900245741;Marwan;RESUME;user
1759582900269338;Marwan;GET_READY;full_extension
1759582901403499;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582901416289;Marwan;PAUSE;user
1759582902495355;Marwan;RESUME;user
1759582902507037;Marwan;GET_READY;mild_radial_flexion
1759582904023283;Marwan;MOVE_ABORT;mild_radial_flexion|USER_PAUSE
1759582904051494;Marwan;PAUSE;user
1759582905306689;Marwan;RESUME;user
1759582905320390;Marwan;GET_READY;mild_ulnar_flexion
1759582907949339;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759582907964077;Marwan;PAUSE;user
1759582909048960;Marwan;RESUME;user
1759582909063524;Marwan;GET_READY;full_extension
1759582910335907;Marwan;MOVE_ABORT;full_extension|USER_PAUSE
1759582910360902;Marwan;PAUSE;user
1759582923596378;Marwan;RESUME;user
1759582923612355;Marwan;GET_READY;full_radial_flexion
1759582925692562;Marwan;MOVE_ABORT;full_radial_flexion|USER_PAUSE
