timestamp_us;participant;event;detail
1759591282186170;Sofiia;SESSION_START;-
1759591282211214;Sofiia;GET_READY;mild_ulnar_flexion
1759591282211214;Sofiia;AUTOPAUSE_NO_DATA;>0.75s
1759591282211214;Sofiia;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1759591282236911;Sofiia;PAUSE;user
1759591291128743;Sofiia;RESUME;user
1759591291141760;Sofiia;GET_READY;full_extension
1759591291141760;Sofiia;AUTOPAUSE_NO_DATA;>0.75s
1759591291141760;Sofiia;MOVE_ABORT;full_extension|USER_PAUSE
1759591291174504;Sofiia;PAUSE;user
1759591443106670;Sofiia;RESUME;user
1759591443140870;Sofiia;GET_READY;full_ulnar_flexion
1759591446149592;Sofiia;MOVE_START;full_ulnar_flexion
1759591448232562;Sofiia;MOVE_END;full_ulnar_flexion
1759591450274120;Sofiia;GET_READY;full_flexion
1759591453268765;Sofiia;MOVE_START;full_flexion
1759591457942157;Sofiia;MOVE_END;full_flexion
1759591460122887;Sofiia;GET_READY;mild_radial_flexion
1759591463120966;Sofiia;MOVE_START;mild_radial_flexion
1759591467319480;Sofiia;MOVE_END;mild_radial_flexion
1759591470173785;Sofiia;GET_READY;mild_ulnar_flexion
1759591473186489;Sofiia;MOVE_START;mild_ulnar_flexion
1759591476532938;Sofiia;MOVE_END;mild_ulnar_flexion
1759591480201755;Sofiia;GET_READY;full_extension
1759591483197553;Sofiia;MOVE_START;full_extension
1759591485878985;Sofiia;MOVE_END;full_extension
1759591488841675;Sofiia;GET_READY;full_radial_flexion
1759591491835030;Sofiia;MOVE_START;full_radial_flexion
1759591494721739;Sofiia;MOVE_END;full_radial_flexion
1759591498304322;Sofiia;GET_READY;mild_extension
1759591501297698;Sofiia;MOVE_START;mild_extension
1759591505603332;Sofiia;MOVE_END;mild_extension
1759591508744201;Sofiia;GET_READY;mild_flexion
1759591511749119;Sofiia;MOVE_START;mild_flexion
1759591516003291;Sofiia;MOVE_END;mild_flexion
1759591518152866;Sofiia;GET_READY;mild_flexion
1759591521140349;Sofiia;MOVE_START;mild_flexion
1759591525635008;Sofiia;MOVE_END;mild_flexion
