timestamp_us;participant;event;detail
1760016902869008;Marwan;SESSION_START;-
1760016902931293;Marwan;GET_READY;mild_ulnar_flexion
1760016902932303;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1760016902932303;Marwan;MOVE_ABORT;mild_ulnar_flexion|USER_PAUSE
1760016902978281;Marwan;PAUSE;user
1760016905393623;Marwan;RESUME;user
1760016905436626;Marwan;GET_READY;full_flexion
1760016905436626;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1760016905436626;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1760016905481743;Marwan;PAUSE;user
1760016909488532;Marwan;RESUME;user
1760016909519533;Marwan;GET_READY;full_flexion
1760016909519533;Marwan;AUTOPAUSE_NO_DATA;>0.75s
1760016909519533;Marwan;MOVE_ABORT;full_flexion|USER_PAUSE
1760016909577529;Marwan;PAUSE;user
1760016921657100;Marwan;RESUME;user
1760016921714542;Marwan;GET_READY;mild_ulnar_flexion
1760016924749816;Marwan;MOVE_START;mild_ulnar_flexion
1760016929689087;Marwan;MOVE_END;mild_ulnar_flexion
1760016933194573;Marwan;GET_READY;full_ulnar_flexion
1760016936226164;Marwan;MOVE_START;full_ulnar_flexion
1760016940545870;Marwan;MOVE_END;full_ulnar_flexion
1760016944253388;Marwan;GET_READY;full_radial_flexion
1760016947305744;Marwan;MOVE_START;full_radial_flexion
1760016950232267;Marwan;MOVE_END;full_radial_flexion
1760016952991613;Marwan;GET_READY;full_extension
1760016956034032;Marwan;MOVE_START;full_extension
1760016960766493;Marwan;MOVE_END;full_extension
1760016964058129;Marwan;GET_READY;mild_radial_flexion
1760016967077688;Marwan;MOVE_START;mild_radial_flexion
1760016969883191;Marwan;MOVE_END;mild_radial_flexion
1760016973195840;Marwan;GET_READY;mild_extension
1760016976244291;Marwan;MOVE_START;mild_extension
1760016978378832;Marwan;MOVE_END;mild_extension
1760016980910385;Marwan;GET_READY;full_flexion
1760016983911072;Marwan;MOVE_START;full_flexion
1760016986476706;Marwan;MOVE_END;full_flexion
1760016989537985;Marwan;GET_READY;mild_flexion
1760016992586674;Marwan;MOVE_START;mild_flexion
1760016997556632;Marwan;MOVE_END;mild_flexion
1760017000911084;Marwan;GET_READY;full_flexion
1760017003926810;Marwan;MOVE_START;full_flexion
1760017006513008;Marwan;MOVE_END;full_flexion
1760017009416147;Marwan;GET_READY;mild_flexion
1760017012455290;Marwan;MOVE_START;mild_flexion
1760017015289089;Marwan;MOVE_END;mild_flexion
1760017017682705;Marwan;GET_READY;full_extension
1760017020711367;Marwan;MOVE_START;full_extension
1760017024065480;Marwan;MOVE_END;full_extension
1760017027286054;Marwan;GET_READY;mild_radial_flexion
1760017030281278;Marwan;MOVE_START;mild_radial_flexion
1760017034368762;Marwan;MOVE_END;mild_radial_flexion
1760017036468801;Marwan;GET_READY;full_radial_flexion
1760017039503993;Marwan;MOVE_START;full_radial_flexion
1760017041787930;Marwan;MOVE_END;full_radial_flexion
1760017044618290;Marwan;GET_READY;full_ulnar_flexion
1760017047635712;Marwan;MOVE_START;full_ulnar_flexion
1760017050859351;Marwan;MOVE_END;full_ulnar_flexion
1760017053080215;Marwan;GET_READY;mild_extension
1760017056109829;Marwan;MOVE_START;mild_extension
1760017058280449;Marwan;MOVE_END;mild_extension
1760017060525688;Marwan;GET_READY;mild_ulnar_flexion
1760017063555370;Marwan;MOVE_START;mild_ulnar_flexion
1760017065601107;Marwan;MOVE_END;mild_ulnar_flexion
1760017068778982;Marwan;GET_READY;full_flexion
1760017071783244;Marwan;MOVE_START;full_flexion
1760017076518971;Marwan;MOVE_END;full_flexion
1760017079197770;Marwan;GET_READY;mild_radial_flexion
1760017082186499;Marwan;MOVE_START;mild_radial_flexion
1760017084787595;Marwan;MOVE_END;mild_radial_flexion
1760017087482214;Marwan;GET_READY;full_ulnar_flexion
1760017090472732;Marwan;MOVE_START;full_ulnar_flexion
1760017095169732;Marwan;MOVE_END;full_ulnar_flexion
1760017097605945;Marwan;GET_READY;mild_ulnar_flexion
1760017100594662;Marwan;MOVE_START;mild_ulnar_flexion
1760017103348438;Marwan;MOVE_END;mild_ulnar_flexion
1760017106435687;Marwan;GET_READY;mild_flexion
1760017109447319;Marwan;MOVE_START;mild_flexion
1760017114008368;Marwan;MOVE_END;mild_flexion
1760017117548897;Marwan;GET_READY;full_radial_flexion
1760017120561972;Marwan;MOVE_START;full_radial_flexion
1760017123590507;Marwan;MOVE_END;full_radial_flexion
1760017125997115;Marwan;GET_READY;mild_extension
1760017129006137;Marwan;MOVE_START;mild_extension
1760017131826136;Marwan;MOVE_END;mild_extension
1760017134069074;Marwan;GET_READY;full_extension
1760017137106740;Marwan;MOVE_START;full_extension
1760017139923302;Marwan;MOVE_END;full_extension
1760017142530985;Marwan;GET_READY;mild_flexion
1760017145560176;Marwan;MOVE_START;mild_flexion
1760017150437116;Marwan;MOVE_END;mild_flexion
1760017153836674;Marwan;GET_READY;mild_ulnar_flexion
1760017156856228;Marwan;MOVE_START;mild_ulnar_flexion
1760017161723691;Marwan;MOVE_END;mild_ulnar_flexion
1760017164952527;Marwan;GET_READY;full_ulnar_flexion
1760017168004331;Marwan;MOVE_START;full_ulnar_flexion
1760017170280608;Marwan;MOVE_END;full_ulnar_flexion
1760017173730952;Marwan;GET_READY;full_flexion
1760017176764308;Marwan;MOVE_START;full_flexion
1760017179901473;Marwan;MOVE_END;full_flexion
1760017183027375;Marwan;GET_READY;full_extension
1760017186015494;Marwan;MOVE_START;full_extension
1760017189197557;Marwan;MOVE_END;full_extension
1760017192608982;Marwan;GET_READY;full_radial_flexion
1760017195621986;Marwan;MOVE_START;full_radial_flexion
1760017198547745;Marwan;MOVE_END;full_radial_flexion
1760017201792841;Marwan;GET_READY;mild_extension
1760017204792815;Marwan;MOVE_START;mild_extension
1760017206851131;Marwan;MOVE_END;mild_extension
1760017210274506;Marwan;GET_READY;mild_radial_flexion
1760017213303090;Marwan;MOVE_START;mild_radial_flexion
1760017216422236;Marwan;MOVE_END;mild_radial_flexion
1760017218904997;Marwan;GET_READY;mild_flexion
1760017221902063;Marwan;MOVE_START;mild_flexion
1760017226882958;Marwan;MOVE_END;mild_flexion
1760017230358294;Marwan;GET_READY;full_radial_flexion
