timestamp_us;participant;state;active_label_id;active_label_name;stream_index;ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7
9513671;Marwan;PAUSED;0;rest;0;-1;-3;-26;7;6;0;0;0
9513671;Marwan;PAUSED;0;rest;0;0;5;31;-5;-8;-3;-1;1
9529296;Marwan;PAUSED;0;rest;1;2;-2;27;-6;-1;-3;0;-1
9529296;Marwan;PAUSED;0;rest;1;0;0;-27;6;2;0;1;1
9535156;Marwan;PAUSED;0;rest;2;-5;-5;-19;-3;-1;2;-2;-2
9535156;Marwan;PAUSED;0;rest;2;-4;2;11;-11;-1;-3;-4;-1
9543945;Marwan;PAUSED;0;rest;3;-4;-1;12;5;0;-1;-3;-2
9543945;Marwan;PAUSED;0;rest;3;0;2;-3;-4;-4;-3;-2;-2
9558593;Marwan;PAUSED;0;rest;0;-3;-5;12;2;-2;-3;0;0
9558593;Marwan;PAUSED;0;rest;0;4;-4;-36;-5;0;0;-2;-1
9565429;Marwan;PAUSED;0;rest;1;4;-8;51;5;-2;-1;-2;-1
9565429;Marwan;PAUSED;0;rest;1;-3;-19;-12;-4;1;2;-2;-1
9574218;Marwan;PAUSED;0;rest;2;-3;-1;-25;-5;-4;-1;-1;-2
9574218;Marwan;PAUSED;0;rest;2;0;2;1;12;2;0;0;0
9588867;Marwan;PAUSED;0;rest;3;-3;-3;-19;-16;-6;-6;-1;0
9588867;Marwan;PAUSED;0;rest;3;0;7;22;3;1;-1;1;0
9594726;Marwan;PAUSED;0;rest;0;3;-2;-8;2;0;-1;-1;0
9594726;Marwan;PAUSED;0;rest;0;-5;-5;-35;-15;-4;0;2;0
9604492;Marwan;PAUSED;0;rest;1;8;0;9;20;3;0;-3;0
9604492;Marwan;PAUSED;0;rest;1;5;2;-4;-4;-2;-1;0;-3
9619140;Marwan;PAUSED;0;rest;2;-2;2;9;6;0;-1;-1;-1
9619140;Marwan;PAUSED;0;rest;2;0;3;-17;-9;0;1;0;-1
9625000;Marwan;PAUSED;0;rest;3;-6;-4;-10;-4;0;-3;-2;-4
9625000;Marwan;PAUSED;0;rest;3;-2;4;10;3;0;-2;-2;-1
9633789;Marwan;PAUSED;0;rest;0;-2;2;-18;-1;-1;1;-2;0
9633789;Marwan;PAUSED;0;rest;0;3;-6;46;9;1;1;0;-1
9649414;Marwan;PAUSED;0;rest;1;-4;2;-20;-9;-1;-1;-1;-1
9649414;Marwan;PAUSED;0;rest;1;-4;-10;-25;-15;-2;-1;-2;-1
9656250;Marwan;PAUSED;0;rest;2;-5;-9;6;14;-2;0;-2;-1
9656250;Marwan;PAUSED;0;rest;2;-4;-3;-7;3;2;1;-2;-1
9664062;Marwan;PAUSED;0;rest;3;1;13;2;1;2;0;1;2
9664062;Marwan;PAUSED;0;rest;3;0;-4;-18;-9;0;-1;1;-1
9678710;Marwan;PAUSED;0;rest;0;3;0;18;9;1;-1;-1;-1
9678710;Marwan;PAUSED;0;rest;0;-1;2;4;4;-2;-2;-3;-2
9684570;Marwan;PAUSED;0;rest;1;0;4;-19;-9;-2;-1;1;0
9684570;Marwan;PAUSED;0;rest;1;-3;2;10;3;-1;-1;0;-1
9694335;Marwan;PAUSED;0;rest;2;-1;-2;-12;-12;-1;0;0;-2
9694335;Marwan;PAUSED;0;rest;2;-2;-4;17;11;0;-2;-1;0
9708984;Marwan;PAUSED;0;rest;3;-6;-7;-9;-10;-7;2;-1;-1
9708984;Marwan;PAUSED;0;rest;3;1;4;5;8;1;-1;-1;1
9714843;Marwan;PAUSED;0;rest;0;0;11;17;-10;-1;1;0;0
9714843;Marwan;PAUSED;0;rest;0;-2;-7;-20;12;0;-3;-5;-3
9723632;Marwan;PAUSED;0;rest;1;-1;2;54;1;2;1;-3;0
9723632;Marwan;PAUSED;0;rest;1;-2;-9;0;-4;2;1;0;-1
9739257;Marwan;PAUSED;0;rest;2;2;2;-8;18;2;-1;2;1
9739257;Marwan;PAUSED;0;rest;2;-1;1;16;-7;-1;0;1;-1
9745117;Marwan;PAUSED;0;rest;3;-3;-7;-27;-9;-1;-2;-1;-1
9745117;Marwan;PAUSED;0;rest;3;3;19;73;23;4;3;-1;1
9753906;Marwan;PAUSED;0;rest;0;-1;-4;-31;-11;1;1;0;0
9753906;Marwan;PAUSED;0;rest;0;-1;1;-12;-6;-3;-1;-2;-1
9769531;Marwan;PAUSED;0;rest;1;-2;-4;17;2;-5;-6;-2;-1
9769531;Marwan;PAUSED;0;rest;1;-1;-4;-21;-5;21;-3;-1;-2
9775390;Marwan;PAUSED;0;rest;2;2;-1;-9;0;-20;-1;1;-1
9775390;Marwan;PAUSED;0;rest;2;-1;-1;6;-1;4;1;3;1
9784179;Marwan;PAUSED;0;rest;3;-2;-4;-12;-1;0;1;-4;-3
9784179;Marwan;PAUSED;0;rest;3;-4;0;-5;-7;-3;-2;-4;-2
9798828;Marwan;PAUSED;0;rest;0;-1;-2;7;-1;5;-4;-1;-1
9798828;Marwan;PAUSED;0;rest;0;3;8;5;1;1;4;2;0
9804687;Marwan;PAUSED;0;rest;1;-2;5;-17;1;5;3;2;-1
9804687;Marwan;PAUSED;0;rest;1;-2;-9;-1;0;-8;2;-1;-2
9814453;Marwan;PAUSED;0;rest;2;-3;-11;-7;-8;-3;-7;-3;-4
9814453;Marwan;PAUSED;0;rest;2;0;3;28;-6;-9;-7;-3;-3
9829101;Marwan;PAUSED;0;rest;3;-1;-3;-37;-6;-9;2;0;0
9829101;Marwan;PAUSED;0;rest;3;-1;1;-13;16;-8;-1;-1;0
9834960;Marwan;PAUSED;0;rest;0;2;6;40;0;3;1;2;1
9834960;Marwan;PAUSED;0;rest;0;-3;-7;-34;-10;-3;-2;-2;-1
9843750;Marwan;PAUSED;0;rest;1;-2;-4;-2;0;5;-2;-1;1
9843750;Marwan;PAUSED;0;rest;1;0;2;-3;-5;-4;-3;0;-2
9859375;Marwan;PAUSED;0;rest;2;-1;-1;-23;1;-1;-2;0;0
9859375;Marwan;PAUSED;0;rest;2;0;2;5;4;8;1;3;1
9864257;Marwan;PAUSED;0;rest;3;0;-6;-3;-9;-5;-3;1;-1
9864257;Marwan;PAUSED;0;rest;3;-1;-1;2;-2;-2;2;-1;-1
9874023;Marwan;PAUSED;0;rest;0;-1;4;17;-2;2;0;-1;-1
9874023;Marwan;PAUSED;0;rest;0;-1;-6;-12;1;0;-2;-3;-1
9888671;Marwan;PAUSED;0;rest;1;0;-4;-22;0;-3;-6;-2;-1
9888671;Marwan;PAUSED;0;rest;1;0;6;32;4;-20;1;1;1
9895507;Marwan;PAUSED;0;rest;2;0;-2;-5;-2;-4;-5;0;-1
9895507;Marwan;PAUSED;0;rest;2;0;2;-8;-1;5;2;-2;-1
9918945;Marwan;PAUSED;0;rest;3;0;5;18;9;5;2;0;0
9918945;Marwan;PAUSED;0;rest;3;-2;-8;-16;-7;-4;-1;-2;-2
9924804;Marwan;PAUSED;0;rest;0;1;2;25;0;27;2;-2;0
9924804;Marwan;PAUSED;0;rest;0;0;2;1;-2;-40;-3;0;-1
9930664;Marwan;PAUSED;0;rest;1;-1;-5;6;5;13;0;-1;-2
9930664;Marwan;PAUSED;0;rest;1;0;8;-18;-4;7;-2;-1;-1
9937500;Marwan;PAUSED;0;rest;2;-3;-5;38;-6;-5;-1;-1;-2
9937500;Marwan;PAUSED;0;rest;2;-2;0;-7;5;11;0;1;-1
9949218;Marwan;PAUSED;0;rest;3;1;1;14;0;-2;0;0;1
9949218;Marwan;PAUSED;0;rest;3;0;0;-5;0;-2;0;1;1
9954101;Marwan;PAUSED;0;rest;0;-1;-2;-3;-4;-10;-2;-1;-3
9954101;Marwan;PAUSED;0;rest;0;-2;-1;-13;-2;7;0;-2;-1
9963867;Marwan;PAUSED;0;rest;1;0;3;29;2;-3;-2;2;0
9963867;Marwan;PAUSED;0;rest;1;-2;-4;-6;11;1;-2;-1;-3
9979492;Marwan;PAUSED;0;rest;2;-1;-1;-11;-6;-2;1;0;0
9979492;Marwan;PAUSED;0;rest;2;-1;-3;-2;-5;8;6;1;-1
9985351;Marwan;PAUSED;0;rest;3;-1;1;-11;3;-4;-3;1;-2
9985351;Marwan;PAUSED;0;rest;3;-1;-3;-6;-5;4;-5;-3;-3
9994140;Marwan;PAUSED;0;rest;0;-1;-3;-9;-1;-4;0;0;1
9994140;Marwan;PAUSED;0;rest;0;1;2;7;5;-4;3;1;-2
10008789;Marwan;PAUSED;0;rest;1;1;6;8;-7;3;2;-3;-2
10008789;Marwan;PAUSED;0;rest;1;-1;-4;-9;4;-6;-1;-2;0
10015625;Marwan;PAUSED;0;rest;2;0;-1;-17;-4;-11;-4;-2;-2
10015625;Marwan;PAUSED;0;rest;2;-3;-4;8;-4;3;-2;-1;0
10024414;Marwan;PAUSED;0;rest;3;-1;1;9;2;-1;4;1;-1
10024414;Marwan;PAUSED;0;rest;3;-1;-2;-26;0;8;1;0;0
10039062;Marwan;PAUSED;0;rest;0;2;5;14;3;1;1;-1;3
10039062;Marwan;PAUSED;0;rest;0;-1;1;-7;-5;-4;-3;1;0
10044921;Marwan;PAUSED;0;rest;1;-2;-5;5;4;5;-1;-3;-1
10044921;Marwan;PAUSED;0;rest;1;0;2;-4;-7;-2;-1;-1;-2
10053710;Marwan;PAUSED;0;rest;2;0;-5;-6;-3;-1;1;0;0
10053710;Marwan;PAUSED;0;rest;2;1;-1;-9;5;3;-3;-1;1
10069335;Marwan;PAUSED;0;rest;3;-1;0;-3;-2;-3;-2;0;0
10069335;Marwan;PAUSED;0;rest;3;-1;0;8;-3;-1;0;-2;-2
10075195;Marwan;PAUSED;0;rest;0;-2;-2;0;5;1;0;-1;0
10075195;Marwan;PAUSED;0;rest;0;-1;-1;-5;-8;-1;-4;-4;1
10083984;Marwan;PAUSED;0;rest;1;-1;-3;-3;-1;-3;-2;-3;-1
10083984;Marwan;PAUSED;0;rest;1;1;1;42;5;-3;-4;0;0
10098632;Marwan;PAUSED;0;rest;2;-1;1;-4;-1;4;0;-1;-2
10098632;Marwan;PAUSED;0;rest;2;-1;-2;-7;-4;-4;-1;-2;-2
10105468;Marwan;PAUSED;0;rest;3;-2;-4;-5;-2;-3;-2;-2;0
10105468;Marwan;PAUSED;0;rest;3;0;-3;3;-2;1;0;0;0
10114257;Marwan;PAUSED;0;rest;0;1;3;-32;0;2;2;-1;-2
10114257;Marwan;PAUSED;0;rest;0;-1;-1;18;0;2;2;1;-1
10128906;Marwan;PAUSED;0;rest;1;-1;-1;-15;0;-6;-1;-2;-2
10128906;Marwan;PAUSED;0;rest;1;0;-1;-7;-5;-1;-3;-4;-2
10135742;Marwan;PAUSED;0;rest;2;-1;-1;12;-1;-2;-1;0;-1
10135742;Marwan;PAUSED;0;rest;2;-2;-7;-6;4;1;-1;-1;-1
10144531;Marwan;PAUSED;0;rest;3;-1;4;2;3;0;-2;1;1
10144531;Marwan;PAUSED;0;rest;3;1;3;-5;-2;3;1;0;-1
10159179;Marwan;PAUSED;0;rest;0;-2;-2;-11;-3;-1;-3;-2;-2
10159179;Marwan;PAUSED;0;rest;0;1;4;21;5;0;-1;-2;0
10173828;Marwan;PAUSED;0;rest;1;-3;-4;-30;-10;-3;1;1;-1
10173828;Marwan;PAUSED;0;rest;1;1;-3;5;0;-1;0;0;-1
10180664;Marwan;PAUSED;0;rest;2;0;3;2;-2;1;2;-1;0
10180664;Marwan;PAUSED;0;rest;2;-3;-3;1;3;-2;-2;-1;-1
10189453;Marwan;PAUSED;0;rest;3;2;-1;-7;5;1;0;2;0
10189453;Marwan;PAUSED;0;rest;3;0;6;5;-5;-2;-1;-1;-1
10204101;Marwan;PAUSED;0;rest;0;-1;-6;2;3;1;-1;-1;-1
10204101;Marwan;PAUSED;0;rest;0;-3;-1;-7;-6;0;-1;0;0
10209960;Marwan;PAUSED;0;rest;1;1;0;0;-2;-1;-2;-4;-1
10209960;Marwan;PAUSED;0;rest;1;-2;-2;-6;2;4;-2;0;-1
10218750;Marwan;PAUSED;0;rest;2;-1;2;15;-7;-6;-2;-1;0
